"Reference","Value","Exclude from BOM","Distributer Link","Part Number"
"C2,C8","10uF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-grm31cr71e106ka12l-737435","GRM31CR71E106KA12L"
"C3,C4","20pF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/yageo-cc0603jrnpo9bn200-747236","CC0603JRNPO9BN200"
"C5,C10,C13","2.2uF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-grt155c81a225me13d-624222","GRT155C81A225ME13D"
"C6","10uF","","https://www.ozdisan.com/p/tantal-kapasitorler-178/kyocera-avx-tajr106k006rnj-621753","TAJR106K006RNJ"
"C7,C9,C11,C12","10uF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-grt188c81c106me13d-732963","GRT188C81C106ME13D"
"C14,C15","22uF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-grm188c80j226me15d-626270","GRM188C80J226ME15D"
"C28,C29,C31,C32,C33,C35,C40,C42,C45,C48","1uF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-grm155r61a105ke15d-480735","GRM155R61A105KE15D"
"C30","10uF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-gcm21br71a106ke22l-737322","GCM21BR71A106KE22L"
"C34","1uF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-grm155r61a105ke15d-480735",""
"C36,C37,C38,C41,C43,C44,C56,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69","100nF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-grm155r71c104ka88d-423396","GRM155R71C104KA88D"
"C39","100nF","","https://www.ozdisan.com/p/smt-smd-ve-mlcc-kapasitorler-184/murata-grm155r71c104ka88d-423396",""
"D2","RED_LED","","https://www.ozdisan.com/p/sinyal-ledler-tek-renkli-361/kingbright-aphhs1005surck-708179","APHHS1005SURCK"
"D4","RED_LED","","https://www.ozdisan.com/p/sinyal-ledler-tek-renkli-361/everlight-27-21-r6c-ap1q2b-3c-602569","27-21/R6C-AP1Q2B/3C  "
"D5","GREEN_LED","","https://www.ozdisan.com/p/sinyal-ledler-tek-renkli-361/honglitronic-hl-pst-1608u51gc-471660","HL-PST-1608U51GC  "
"D6","BLUE_LED","","https://www.ozdisan.com/p/sinyal-ledler-tek-renkli-361/honglitronic-hl-pst-1608h203bc-471659","HL-PST-1608H203BC  "
"D10","PTVS5V0P1UP","","https://tr.farnell.com/nexperia/ptvs5v0p1up-115/diode-tvs-uni-5v-600w-sod128/dp/1859896","PTVS5V0P1UP,115"
"FB1,FB2,FB3","FerriteBead","","https://www.ozdisan.com/p/bead-feritler-469/murata-blm21pg331sn1d-413955",""
"J1","Micro_SD_Card","","","473521001"
"J2","Conn_01x05","","https://www.ozdisan.com/p/pcb-konnektorler-310/molex-molex-0532610671-485614",""
"J3","Conn_01x06","","",""
"J7,J8","Conn_01x04","","",""
"J9","USB4105-GF-A-120","","https://www.ozdisan.com/p/usb-konnektorler-357/gct-usb4105-gf-a-120-978727?s=USB4105-GF-A-120",""
"J10","Conn_01x04","","",""
"J11,J13","Conn_01x06","","",""
"J12,J14","Conn_01x03","","",""
