Measurement: max_power_dissipation
  step	MAX({V(N009)*Ic(Q1)+V(N014)*Ib(Q1)})	FROM	TO
     1	0.409109139421	0	0.01
     2	0.253826694127	0	0.01
     3	0.172770843183	0	0.01
     4	0.126920245008	0	0.01
     5	0.0990564661324	0	0.01
     6	0.0809141175581	0	0.01
     7	0.0682084381137	0	0.01
     8	0.0589337703689	0	0.01
     9	0.0518610088593	0	0.01
    10	0.0462975318369	0	0.01
    11	0.0418076366395	0	0.01

Measurement: max_buzzer_current
  step	MAX(I(R1))	FROM	TO
     1	0.112410709262	0	0.01
     2	0.0893790870905	0	0.01
     3	0.0736381188035	0	0.01
     4	0.0623292326927	0	0.01
     5	0.0537679456174	0	0.01
     6	0.0471046678722	0	0.01
     7	0.0418194681406	0	0.01
     8	0.0375539660454	0	0.01
     9	0.0340549387038	0	0.01
    10	0.0311415530741	0	0.01
    11	0.0286831576377	0	0.01

Measurement: max_diode_current
  step	MAX(I(D4))	FROM	TO
     1	0.112392544746	0	0.01
     2	0.0893703699112	0	0.01
     3	0.0736331343651	0	0.01
     4	0.0623263381422	0	0.01
     5	0.0537658892572	0	0.01
     6	0.0471037961543	0	0.01
     7	0.0418192818761	0	0.01
     8	0.0375539511442	0	0.01
     9	0.0340549387038	0	0.01
    10	0.0311415717006	0	0.01
    11	0.0286831595004	0	0.01

Measurement: max_pin_current
  step	MAX(-I(V2))	FROM	TO
     1	0.00259443814866	0	0.01
     2	0.00259447889403	0	0.01
     3	0.0025944551453	0	0.01
     4	0.00259474851191	0	0.01
     5	0.00259470101446	0	0.01
     6	0.00259465072304	0	0.01
     7	0.00259487237781	0	0.01
     8	0.00259468285367	0	0.01
     9	0.00259462441318	0	0.01
    10	0.00259463186376	0	0.01
    11	0.0025946169626	0	0.01

Measurement: max_power_current
  step	MAX(-I(V1))	FROM	TO
     1	0.112271413207	0	0.01
     2	0.0892737954855	0	0.01
     3	0.0735687687993	0	0.01
     4	0.0622928217053	0	0.01
     5	0.05375681445	0	0.01
     6	0.0470967032015	0	0.01
     7	0.0418172553182	0	0.01
     8	0.0375535599887	0	0.01
     9	0.034058265388	0	0.01
    10	0.0311448667198	0	0.01
    11	0.0286874771118	0	0.01

Measurement: max_resistor_power
  step	MAX({V(N006,N007)*I(R3)})	FROM	TO
     1	0.0126320975128	0	0.01
     2	0.0878577038525	0	0.01
     3	0.113858612394	0	0.01
     4	0.120421739408	0	0.01
     5	0.118521600146	0	0.01
     6	0.113157151904	0	0.01
     7	0.106679990977	0	0.01
     8	0.100131243707	0	0.01
     9	0.0939388507924	0	0.01
    10	0.0882515721024	0	0.01
    11	0.0830950912711	0	0.01

Measurement: max_flyback_current
  step	MAX(I(D3))	FROM	TO
     1	0.111983977258	0	0.01
     2	0.089103974402	0	0.01
     3	0.0734404847026	0	0.01
     4	0.0621750056744	0	0.01
     5	0.0536401830614	0	0.01
     6	0.0469938106835	0	0.01
     7	0.0417201630771	0	0.01
     8	0.0374628342688	0	0.01
     9	0.0339697860181	0	0.01
    10	0.0310610998422	0	0.01
    11	0.0286064650863	0	0.01

Measurement: average_power_dissipation
  step	AVG({V(N009)*Ic(Q1)+V(N014)*Ib(Q1)})	FROM	TO
     1	0.0071455460255	0	0.01
     2	0.00508837962733	0	0.01
     3	0.00394595674237	0	0.01
     4	0.00326785639697	0	0.01
     5	0.0028058945633	0	0.01
     6	0.00246616825528	0	0.01
     7	0.00220959640909	0	0.01
     8	0.00201141228881	0	0.01
     9	0.00185542991003	0	0.01
    10	0.00173060874352	0	0.01
    11	0.00162926204942	0	0.01

Measurement: average_resistor_power
  step	AVG({V(N006,N007)*I(R3)})	FROM	TO
     1	0.00310326686844	0	0.01
     2	0.0229285657737	0	0.01
     3	0.0315717905659	0	0.01
     4	0.0358080910545	0	0.01
     5	0.0376153905477	0	0.01
     6	0.0379252007229	0	0.01
     7	0.0374217628643	0	0.01
     8	0.0364829392765	0	0.01
     9	0.0353295419576	0	0.01
    10	0.0340873253429	0	0.01
    11	0.0328277113255	0	0.01

Measurement: max_buzzer_voltage
  step	MAX(V(N007,N009))	FROM	TO
     1	4.01911215554	0	0.01
     2	4.01782237273	0	0.01
     3	4.01654417173	0	0.01
     4	4.01688714896	0	0.01
     5	4.01547509746	0	0.01
     6	4.01417215599	0	0.01
     7	4.01292479306	0	0.01
     8	4.01163608464	0	0.01
     9	4.01037677249	0	0.01
    10	4.00916090608	0	0.01
    11	4.00792486162	0	0.01
